model,feature,rbo
openai,Broadcast messages to multiple contacts,0.892704713896768
openai,Send files,0.8213035370213982
openai,Watch streams,0.6866444101470379
openai,Go Live,0.8757923873202305
openai,Play playlist on shuffle mode,0.9918717100697301
openai,Access to podcasts,0.9576460315402493
openai,Build photo collage,0.9060566993897838
openai,Photo effects,0.9028890982355197
openai,Access to movies,0.997595179365817
openai,Rate movies,0.7474016008281791
openai,Keeping up with friends,0.7751287680931462
openai,Play games,0.19701096085802342
openai,Collaborate with others,0.9150904710091591
openai,Write notes,0.8210596452992381
openai,Search for offer on item,0.7169771900866233
openai,List items for sale,0.7199746095546317
gemini,Broadcast messages to multiple contacts,0.4072101743068485
gemini,Send files,0.6739545247746305
gemini,Watch streams,0.5015000765377154
gemini,Go Live,0.7337122379093082
gemini,Play playlist on shuffle mode,0.39758912468174856
gemini,Access to podcasts,0.6881666988231916
gemini,Build photo collage,0.4049824732230131
gemini,Photo effects,0.4993093143552486
gemini,Access to movies,0.7938888852720442
gemini,Rate movies,0.7116825630368374
gemini,Keeping up with friends,0.5107847461522792
gemini,Play games,0.19360654410140896
gemini,Collaborate with others,0.7574285393533714
gemini,Write notes,0.7238141094352338
gemini,Search for offer on item,0.4194409241406973
gemini,List items for sale,0.8133495651095708
anthropic,Broadcast messages to multiple contacts,0.8524146549693064
anthropic,Send files,0.70753399380487
anthropic,Watch streams,0.8794422988943192
anthropic,Go Live,0.8837302674166623
anthropic,Play playlist on shuffle mode,0.8999476837349729
anthropic,Access to podcasts,0.9165545198037572
anthropic,Build photo collage,0.6497852074207153
anthropic,Photo effects,0.8240884601570702
anthropic,Access to movies,0.9474061692080564
anthropic,Rate movies,0.7970491409809697
anthropic,Keeping up with friends,0.8205168324457329
anthropic,Play games,0.8383117529261918
anthropic,Collaborate with others,0.9477740598988575
anthropic,Write notes,0.9058145416130786
anthropic,Search for offer on item,0.7947106092345321
anthropic,List items for sale,0.9033711604166276
mistral,Broadcast messages to multiple contacts,0.826622391668168
mistral,Send files,0.7442254027082479
mistral,Watch streams,0.9299290887518127
mistral,Go Live,0.8201614611243113
mistral,Play playlist on shuffle mode,0.9793937205016701
mistral,Access to podcasts,0.9355647223142416
mistral,Build photo collage,0.828691381552578
mistral,Photo effects,0.7421057219072872
mistral,Access to movies,0.9424515104993348
mistral,Rate movies,0.752811839779018
mistral,Keeping up with friends,0.8161744649217694
mistral,Play games,0.8889680262465373
mistral,Collaborate with others,0.9053882152679245
mistral,Write notes,0.9535032478280696
mistral,Search for offer on item,0.8816812901460682
mistral,List items for sale,0.9099362425342619
