model1,model2,num_criteria_model1,num_criteria_model2,mean_cross_similarity,std_cross_similarity,min_cross_similarity,max_cross_similarity,external_consistency_score
anthropic,gemini,866,1070,0.22020997,0.13566606,-0.16305818,0.9854236,0.22020997
anthropic,mistral,866,1066,0.25660527,0.14640725,-0.1357184,0.9691278,0.25660527
anthropic,openai,866,1108,0.2431128,0.14168985,-0.15691197,0.99701756,0.2431128
anthropic,perplexity,866,1025,0.22968143,0.14425565,-0.15975082,0.9929247,0.22968143
gemini,mistral,1070,1066,0.29240727,0.14600232,-0.1673029,1.0000004,0.29240727
gemini,openai,1070,1108,0.28017583,0.14494991,-0.17491892,1.0000001,0.28017583
gemini,perplexity,1070,1025,0.25068468,0.14048684,-0.16765931,0.98956317,0.25068468
mistral,openai,1066,1108,0.33547106,0.15803091,-0.0798097,1.0000004,0.33547106
mistral,perplexity,1066,1025,0.28626618,0.14745446,-0.14143853,0.9816521,0.28626618
openai,perplexity,1108,1025,0.27499494,0.1474716,-0.1584997,0.98916614,0.27499494
