feature,mean_external_rbo
Access to movies,0.7217919314632865
Access to podcasts,0.6510451906939136
Broadcast messages to multiple contacts,0.6188663859968009
Build photo collage,0.2686163731334908
Collaborate with others,0.5512220671371753
Go Live,0.3046431284334152
Keeping up with friends,0.5590604576612104
List items for sale,0.5636287542109335
Photo effects,0.3347810111060367
Play games,0.260250826636529
Play playlist on shuffle mode,0.7620520402252959
Rate movies,0.41294596178787296
Search for offer on item,0.19243524107574086
Send files,0.3323390939454959
Watch streams,0.4112568759448062
Write notes,0.6154750625084221
