model,Accessibility Features,Cost and Pricing,Cross-Platform Synchronization,Customer Support,Customization Options,Feature Breadth and Richness,Integration with Other Services,Performance and Stability,Platform and Device Compatibility,Popularity and Market Reach,Regional and Geographical Availability,Regular Updates and Maintenance,Security and Privacy,User Engagement,User Interface and Experience,User Ratings
llama31_8b,0.4774961180048033,0.48208833814817353,0.46534057285455493,0.5012388514278457,0.48968018387460976,0.5137123566355736,0.519524744029137,0.4806228063548833,0.5296839771787043,0.5295812385549126,0.5024827817544134,0.45231842104158343,0.4789128422404884,0.5253948956681127,0.5285265097681613,0.49664730013067393
gemma3_4b,0.650411139440519,0.5870290063830372,0.5774173717524816,0.6017893711539211,0.6053184938348025,0.6211474174616607,0.6177026201322071,0.6461920150347344,0.6379106332390481,0.6553539125823491,0.6327548866516184,0.614941660255769,0.5771662835331572,0.6410469567013429,0.6425564740336629,0.6116178739222169
qwen3_8b,0.555731110618021,0.6166067534914794,0.6222589438054699,0.61953463212842,0.5148345336629278,0.5998167528851626,0.6193319055255744,0.6229320391792221,0.6308303748569811,0.6231373191033793,0.6088716135008947,0.6057352855876856,0.3972295964392361,0.6531911761636398,0.6230094372601644,0.6201212256617152
gptoss20b,0.551908394269913,0.47846576366715443,0.5243263928592063,0.5090664946400172,0.43215494519095243,0.5815245752765814,0.5723108821635168,0.563698003592589,0.5530965020811168,0.5786582919113787,0.5692733738266461,0.575080508434431,0.36836623425727105,0.5963572107036191,0.579769446205458,0.5011921513536687
mistral_open,0.6039577086416267,0.6537536526387852,0.5713815725678543,0.6440021116416498,0.6079697717718721,0.6793015225917529,0.6514690411309313,0.6853554445099987,0.7056414242793957,0.6888829630839216,0.6127704480769188,0.6672031481384685,0.4994573182853293,0.731692137531917,0.7002536765186673,0.6948789390139098
deepseekr1_8b,0.6220909001758591,0.5524225370669966,0.6313340209602651,0.5859644037445955,0.5400771376139082,0.6186515967811599,0.5889053149133893,0.6290239633429238,0.6317245791257151,0.6603325911952447,0.6302899185024629,0.6152489357884003,0.5253059360557835,0.637016752136856,0.6312430661283135,0.6736116878158733
openai,0.5914768703915566,0.559970501898065,0.6838588389577382,0.586316834972109,0.4171747395411616,0.6843062437767369,0.6165315971264193,0.6594208011431117,0.6862803003706727,0.6205012834552084,0.60138237100226,0.7083347886515893,0.43536708782669165,0.6433916599729863,0.6855236327438093,0.565629130730223
gemini,0.4464624251372317,0.3890549892637648,0.5378125221342706,0.4183382077270895,0.26094388938395496,0.6173044818007436,0.47840650011137514,0.5710961614499347,0.5421765582683032,0.48922473877335143,0.5213002598353828,0.5953143511195295,0.2436643243724875,0.5681027853086825,0.5768701289375708,0.34992749435933096
anthropic,0.634377185040602,0.6012732684947122,0.6593228967217974,0.6250415869651571,0.4698730561791019,0.6817424733999067,0.6004542068685585,0.7297925534979705,0.7072402774680696,0.6277002331729966,0.5836883538476555,0.7097224481473655,0.3964819625289643,0.6983365936654224,0.6758245431883747,0.7045092581496103
mistral,0.7128964626191647,0.7123519078861119,0.7301804841443387,0.820551907287298,0.6228947709540928,0.8077846238476282,0.7711113697913922,0.775004532907634,0.8107172698982001,0.5901323000135464,0.6217077111854111,0.730901822925002,0.622803077724974,0.7209280573177242,0.7912284539811502,0.531677102975337
