model,feature,jaccard,rbo
anthropic,Access to movies,0.07017543859649122,0.10135324186543067
anthropic,Access to podcasts,0.18051470588235294,0.3042099713893235
anthropic,Broadcast messages to multiple contacts,0.17647058823529413,0.07765670994136899
anthropic,Build photo collage,0.11833505331957343,0.1257128737873894
anthropic,Collaborate with others,0.05263157894736842,0.06938416015685508
anthropic,Go Live,0.0,0.0
anthropic,Keeping up with friends,0.0,0.0
anthropic,List items for sale,0.11764705882352941,0.20062412698343807
anthropic,Photo effects,0.05555555555555556,0.06938416015685508
anthropic,Play games,0.10526315789473684,0.06113236438296156
anthropic,Play playlist on shuffle mode,0.17647058823529413,0.3526783356852127
anthropic,Rate movies,0.1503267973856209,0.43758065458246503
anthropic,Search for offer on item,0.05847953216374269,0.20233034637291497
anthropic,Send files,0.3,0.22572063213862434
anthropic,Watch streams,0.1911764705882353,0.30600835044635044
anthropic,Write notes,0.1772875816993464,0.09893869281913906
gemini,Access to movies,0.13140694874441003,0.11409418539611019
gemini,Access to podcasts,0.25875,0.3926566921210074
gemini,Broadcast messages to multiple contacts,0.03216374269005848,0.021512546539785266
gemini,Build photo collage,0.04327485380116959,0.040328681654843004
gemini,Collaborate with others,0.05263157894736842,0.06938416015685508
gemini,Go Live,0.06023391812865497,0.012234243182773536
gemini,Keeping up with friends,0.005263157894736842,0.003412738161028636
gemini,List items for sale,0.13336773305813554,0.1385046517358499
gemini,Photo effects,0.016666666666666666,0.006113387250965203
gemini,Play games,0.04327485380116959,0.04209536175593221
gemini,Play playlist on shuffle mode,0.0973856209150327,0.24449554638948162
gemini,Rate movies,0.16993464052287582,0.47818461649874033
gemini,Search for offer on item,0.03684210526315789,0.03671133835329641
gemini,Send files,0.2593137254901961,0.21927488395319386
gemini,Watch streams,0.08533711730306157,0.05090005623788525
gemini,Write notes,0.25,0.20192560981297075
mistral,Access to movies,0.05263157894736842,0.09736573043190964
mistral,Access to podcasts,0.11764705882352941,0.2700191574779599
mistral,Broadcast messages to multiple contacts,0.08187134502923976,0.05576380464031022
mistral,Build photo collage,0.12418300653594772,0.1624806118193943
mistral,Collaborate with others,0.05263157894736842,0.06938416015685508
mistral,Go Live,0.09415204678362574,0.06251301119653206
mistral,Keeping up with friends,0.0,0.0
mistral,List items for sale,0.09941520467836258,0.050621177529846254
mistral,Photo effects,0.0,0.0
mistral,Play games,0.11179910560715514,0.37927021318131116
mistral,Play playlist on shuffle mode,0.17647058823529413,0.3526783356852127
mistral,Rate movies,0.11111111111111112,0.4158204111852378
mistral,Search for offer on item,0.05263157894736842,0.1388199086171756
mistral,Send files,0.11111111111111112,0.061328021435795355
mistral,Watch streams,0.19117647058823534,0.3032496564146715
mistral,Write notes,0.25,0.1866787630764299
openai,Access to movies,0.11111111111111112,0.11065743521031306
openai,Access to podcasts,0.17352941176470588,0.338398007929969
openai,Broadcast messages to multiple contacts,0.05263157894736842,0.04923742955881581
openai,Build photo collage,0.12418300653594772,0.11261903106877769
openai,Collaborate with others,0.10526315789473684,0.08520202319148547
openai,Go Live,0.08771929824561404,0.019926250534583075
openai,Keeping up with friends,0.0,0.0
openai,List items for sale,0.1503267973856209,0.13349021673640263
openai,Photo effects,0.04444444444444444,0.004758577180334485
openai,Play games,0.0,0.0
openai,Play playlist on shuffle mode,0.17647058823529413,0.2479858086783234
openai,Rate movies,0.17647058823529413,0.4834907327887194
openai,Search for offer on item,0.031578947368421054,0.016856101599426614
openai,Send files,0.19117647058823534,0.15407989456935964
openai,Watch streams,0.11764705882352941,0.09756003596996413
openai,Write notes,0.25,0.20032409672907994
perplexity,Access to movies,0.05263157894736842,0.09736573043190964
perplexity,Access to podcasts,0.14636437908496733,0.26275797831300995
perplexity,Broadcast messages to multiple contacts,0.005263157894736842,0.0005948221475418106
perplexity,Build photo collage,0.06491228070175437,0.039954079913629294
perplexity,Collaborate with others,0.05263157894736842,0.06938416015685508
perplexity,Go Live,0.05263157894736842,0.005948221475418106
perplexity,Keeping up with friends,0.09941520467836258,0.08001752397957781
perplexity,List items for sale,0.05263157894736842,0.20100117589507457
perplexity,Photo effects,0.05427350427350428,0.03366775841557925
perplexity,Play games,0.09494324045407636,0.09946490527562925
perplexity,Play playlist on shuffle mode,0.06160990712074303,0.11503856938598304
perplexity,Rate movies,0.13071895424836602,0.20958034806421805
perplexity,Search for offer on item,0.0,0.0
perplexity,Send files,0.10079119367045061,0.10385968862439836
perplexity,Watch streams,0.047368421052631574,0.011962534300563082
perplexity,Write notes,0.25,0.1343628203433151
