category_name,avg_run_correlation,rss_position_correlation,rss_k1,rss_k2,rss_k3,rss_k4,rss_k5,rss_k6,rss_k7,rss_k8,rss_k9,rss_k10,total_apps,total_runs,rss_k11,rss_k12,rss_k13,rss_k14,rss_k15,rss_k16,rss_k17,rss_k18,rss_k19,rss_k20,apps_k1,apps_k2,apps_k3,apps_k4,apps_k5,apps_k6,apps_k7,apps_k8,apps_k9,apps_k10,apps_k11,apps_k12,apps_k13,apps_k14,apps_k15,apps_k16,apps_k17,apps_k18,apps_k19,apps_k20
"""AI-powered utilities""",0.6257833186756355,0.9802016955472952,0.0,0.0,0.0,0.0714285714285714,0.1714285714285714,0.2597402597402597,0.5164835164835165,0.5476190476190476,0.4563492063492064,0.810985797827903,93,10,0.8431495405179618,1.0604686318972032,1.2707936507936508,1.370793650793651,1.3276862026862024,1.5066609977324263,1.5236726874657909,1.7183819764464925,1.8990271377368155,2.4373482726423905,2.0,4.0,7.0,8.0,10.0,13.0,14.0,19.0,24.0,29.0,37.0,42.0,47.0,53.0,61.0,68.0,76.0,81.0,88.0,93.0
"""AI-powered entertainment""",0.9601712431159036,0.9349404790339992,0.0,0.0,0.0,0.0,0.1805555555555555,0.25,0.3833333333333333,0.4567901234567901,0.4333333333333333,0.4617604617604617,34,10,0.6967592592592592,0.6293650793650792,0.7248677248677248,0.6628224206349207,0.6306878306878306,0.6444862155388471,0.6473922902494331,0.7033730158730158,0.7454212454212453,0.8100340136054421,1.0,2.0,3.0,5.0,6.0,7.0,8.0,10.0,11.0,11.0,12.0,15.0,15.0,17.0,19.0,21.0,25.0,29.0,32.0,34.0
"""AI-powered productivity""",0.8867104263413358,0.8927011101169867,0.0,0.0,0.3333333333333333,0.6333333333333333,0.7261904761904762,0.9937641723356008,0.898148148148148,1.2026190476190477,1.1388888888888888,1.120879120879121,50,10,1.136904761904762,1.055224867724868,1.1550751879699248,1.2414880952380951,1.2642316017316018,1.3252070393374742,1.2525238095238094,1.3982600732600732,1.477750410509031,1.527936507936508,1.0,4.0,5.0,7.0,9.0,10.0,12.0,15.0,16.0,19.0,20.0,23.0,25.0,27.0,28.0,29.0,32.0,38.0,43.0,50.0
"""AI-powered finance""",0.63918106142777,0.9674799397982214,0.0,0.0,0.1481481481481481,0.0888888888888888,0.0555555555555555,0.2525252525252525,0.3026862026862027,0.5524943310657596,0.7887152777777778,0.9641690009337068,55,10,1.371979717813051,1.9314484126984128,2.253786375661376,2.358730158730159,2.965380405035577,3.3888359788359788,3.702636968766001,3.952982202982204,4.408718133718133,4.54155328798186,1.0,3.0,3.0,5.0,9.0,11.0,16.0,20.0,23.0,26.0,27.0,32.0,35.0,38.0,39.0,42.0,46.0,49.0,52.0,55.0
"""AI-powered photo & video""",0.8839222689590082,0.9724397670648656,0.0,0.0,0.0555555555555555,0.4814814814814814,0.6481481481481481,1.1402116402116402,0.9184027777777776,0.7847222222222221,0.98989898989899,1.1356837606837606,60,10,1.0953703703703703,1.312908496732026,1.5807098765432095,1.876686507936508,1.7651695526695528,1.8159887566137567,1.8173229548229548,1.922718253968254,2.261203703703704,2.328367003367003,1.0,5.0,6.0,7.0,8.0,8.0,9.0,13.0,15.0,18.0,22.0,26.0,31.0,33.0,37.0,43.0,48.0,52.0,57.0,60.0
"""AI-powered shopping""",0.949781398490316,0.9712011334758432,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.2539682539682539,0.2474747474747475,0.4226851851851851,41,10,0.4286324786324786,0.4732638888888889,0.4511695906432749,0.5286111111111111,0.516919191919192,0.6155092592592593,0.6514957264957265,0.6543650793650794,0.8141577060931899,0.9739057239057238,2.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0,13.0,14.0,18.0,19.0,23.0,27.0,29.0,31.0,34.0,38.0,40.0,41.0
"""AI-powered social networking""",0.9000344491539416,0.9824621132979584,0.0,0.0,0.0555555555555555,0.2037037037037037,0.2777777777777778,0.5222222222222223,0.594017094017094,0.6230158730158729,0.9618055555555556,1.1783625730994152,115,10,1.7146464646464643,1.9953703703703705,2.265555555555556,2.268162393162393,2.455938697318008,2.762962962962963,3.1840277777777777,3.7542087542087534,3.8398692810457513,3.810457516339869,1.0,3.0,8.0,16.0,24.0,32.0,38.0,47.0,53.0,57.0,63.0,67.0,74.0,80.0,86.0,92.0,97.0,101.0,107.0,115.0
"""AI-powered lifestyle""",0.3909686400353626,0.9844635040111592,0.0,0.0,0.0,0.0,0.1666666666666666,0.2136752136752136,0.4305555555555555,0.5485185185185185,0.5495039682539682,1.0813725490196078,64,10,1.2566666666666666,1.2545454545454546,1.4536231884057969,1.5869565217391304,1.8762820512820515,1.9475340136054424,2.239573070607553,2.254070660522274,2.558874458874459,2.878221288515406,2.0,4.0,6.0,8.0,10.0,13.0,15.0,20.0,23.0,27.0,27.0,29.0,33.0,37.0,41.0,46.0,50.0,56.0,60.0,64.0
"""AI-powered music""",0.966816426326459,0.8131206758314545,0.0,0.0,0.0,0.0,0.0714285714285714,0.1088435374149659,0.5396825396825397,0.4722222222222222,0.419753086419753,0.3777777777777777,47,10,0.3434343434343434,0.2698412698412698,0.2361111111111111,0.2320987654320987,0.2288888888888889,0.3894179894179894,0.6826777087646654,0.810978835978836,0.7801892551892553,0.8226757369614514,1.0,2.0,3.0,5.0,6.0,7.0,7.0,8.0,9.0,10.0,13.0,18.0,23.0,27.0,31.0,33.0,35.0,38.0,42.0,47.0
"""AI-powered education""",0.8782072113608835,0.9361483399927322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21428571428571427,0.2312925170068027,50,10,0.3560090702947845,0.3277310924369748,0.3919753086419753,0.6694444444444445,0.8282828282828283,0.9821256038647342,1.0555555555555554,1.0755555555555554,1.2638888888888888,1.6072452636968766,1.0,2.0,3.0,4.0,6.0,7.0,8.0,10.0,12.0,14.0,15.0,17.0,21.0,24.0,28.0,32.0,37.0,45.0,49.0,50.0
